CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES_FCUL             

  Data       Hora   Alt    Maré
2019-03-23   4:21  4.03  Preia-Mar           
2019-03-23  10:31  0.51  Baixa-Mar           
2019-03-23  16:43  3.82  Preia-Mar           
2019-03-23  22:47  0.60  Baixa-Mar           
2019-03-24   5:03  3.84  Preia-Mar           
2019-03-24  11:12  0.71  Baixa-Mar           
2019-03-24  17:24  3.65  Preia-Mar           
2019-03-24  23:30  0.80  Baixa-Mar           
2019-03-25   5:47  3.58  Preia-Mar           
2019-03-25  11:53  0.96  Baixa-Mar           
2019-03-25  18:08  3.43  Preia-Mar           
2019-03-26   0:16  1.06  Baixa-Mar           
2019-03-26   6:33  3.27  Preia-Mar           
2019-03-26  12:37  1.24  Baixa-Mar           
2019-03-26  18:55  3.18  Preia-Mar           
2019-03-27   1:07  1.33  Baixa-Mar           
2019-03-27   7:26  2.98  Preia-Mar           
2019-03-27  13:30  1.51  Baixa-Mar           
2019-03-27  19:53  2.95  Preia-Mar           
2019-03-28   2:14  1.56  Baixa-Mar           
2019-03-28   8:36  2.74  Preia-Mar           
2019-03-28  14:42  1.71  Baixa-Mar           
2019-03-28  21:10  2.80  Preia-Mar           
2019-03-29   3:46  1.67  Baixa-Mar           
2019-03-29  10:08  2.65  Preia-Mar           
2019-03-29  16:17  1.78  Baixa-Mar           
2019-03-29  22:39  2.79  Preia-Mar           
2019-03-30   5:16  1.62  Baixa-Mar           
2019-03-30  11:32  2.71  Preia-Mar           
2019-03-30  17:37  1.69  Baixa-Mar           
2019-03-30  23:51  2.90  Preia-Mar           
2019-03-31   6:17  1.48  Baixa-Mar           
2019-03-31  12:29  2.86  Preia-Mar           
2019-03-31  18:31  1.53  Baixa-Mar           
2019-04-01   0:41  3.06  Preia-Mar           
2019-04-01   7:00  1.31  Baixa-Mar           
2019-04-01  13:11  3.03  Preia-Mar           
2019-04-01  19:11  1.35  Baixa-Mar           
2019-04-02   1:21  3.23  Preia-Mar           
2019-04-02   7:35  1.15  Baixa-Mar           
2019-04-02  13:44  3.19  Preia-Mar           
2019-04-02  19:44  1.18  Baixa-Mar           
2019-04-03   1:55  3.39  Preia-Mar           
2019-04-03   8:06  1.00  Baixa-Mar           
2019-04-03  14:15  3.34  Preia-Mar           
2019-04-03  20:15  1.02  Baixa-Mar           
2019-04-04   2:26  3.52  Preia-Mar           
2019-04-04   8:35  0.89  Baixa-Mar           
2019-04-04  14:45  3.46  Preia-Mar           
2019-04-04  20:46  0.90  Baixa-Mar           
2019-04-05   2:57  3.60  Preia-Mar           
2019-04-05   9:05  0.81  Baixa-Mar           
2019-04-05  15:15  3.53  Preia-Mar           
2019-04-05  21:16  0.83  Baixa-Mar           
2019-04-06   3:28  3.64  Preia-Mar           
2019-04-06   9:35  0.78  Baixa-Mar           
2019-04-06  15:45  3.56  Preia-Mar           
2019-04-06  21:48  0.81  Baixa-Mar           
2019-04-07   4:00  3.62  Preia-Mar           
2019-04-07  10:06  0.80  Baixa-Mar           
2019-04-07  16:16  3.55  Preia-Mar           
2019-04-07  22:20  0.84  Baixa-Mar           
2019-04-08   4:32  3.55  Preia-Mar           
2019-04-08  10:38  0.87  Baixa-Mar           
2019-04-08  16:50  3.48  Preia-Mar           
2019-04-08  22:55  0.92  Baixa-Mar           
2019-04-09   5:08  3.43  Preia-Mar           
2019-04-09  11:13  0.99  Baixa-Mar           
2019-04-09  17:27  3.38  Preia-Mar           
2019-04-09  23:35  1.04  Baixa-Mar           
2019-04-10   5:49  3.27  Preia-Mar           
2019-04-10  11:54  1.15  Baixa-Mar           
2019-04-10  18:10  3.24  Preia-Mar           
2019-04-11   0:22  1.19  Baixa-Mar           
2019-04-11   6:38  3.09  Preia-Mar           
2019-04-11  12:43  1.33  Baixa-Mar           
2019-04-11  19:04  3.10  Preia-Mar           
2019-04-12   1:23  1.34  Baixa-Mar           
2019-04-12   7:44  2.92  Preia-Mar           
2019-04-12  13:50  1.49  Baixa-Mar           
2019-04-12  20:17  3.00  Preia-Mar           
2019-04-13   2:45  1.42  Baixa-Mar           
2019-04-13   9:11  2.84  Preia-Mar           
2019-04-13  15:18  1.54  Baixa-Mar           
2019-04-13  21:45  3.01  Preia-Mar           
2019-04-14   4:17  1.35  Baixa-Mar           
2019-04-14  10:39  2.92  Preia-Mar           
2019-04-14  16:46  1.44  Baixa-Mar           
2019-04-14  23:06  3.17  Preia-Mar           
2019-04-15   5:33  1.15  Baixa-Mar           
2019-04-15  11:50  3.12  Preia-Mar           
2019-04-15  17:55  1.22  Baixa-Mar           
2019-04-16   0:10  3.41  Preia-Mar           
2019-04-16   6:32  0.91  Baixa-Mar           
2019-04-16  12:46  3.36  Preia-Mar           
2019-04-16  18:50  0.96  Baixa-Mar           
2019-04-17   1:04  3.64  Preia-Mar           
2019-04-17   7:22  0.70  Baixa-Mar           
2019-04-17  13:34  3.57  Preia-Mar           
2019-04-17  19:38  0.74  Baixa-Mar           
2019-04-18   1:52  3.83  Preia-Mar           
2019-04-18   8:06  0.55  Baixa-Mar           
2019-04-18  14:18  3.74  Preia-Mar           
2019-04-18  20:22  0.58  Baixa-Mar           
2019-04-19   2:36  3.92  Preia-Mar           
2019-04-19   8:47  0.48  Baixa-Mar           
2019-04-19  14:59  3.82  Preia-Mar           
2019-04-19  21:04  0.51  Baixa-Mar           
2019-04-20   3:18  3.92  Preia-Mar           
2019-04-20   9:27  0.50  Baixa-Mar           
2019-04-20  15:39  3.83  Preia-Mar           
2019-04-20  21:45  0.53  Baixa-Mar           
2019-04-21   3:59  3.82  Preia-Mar           
2019-04-21  10:06  0.61  Baixa-Mar           
2019-04-21  16:19  3.75  Preia-Mar           
2019-04-21  22:26  0.64  Baixa-Mar           
2019-04-22   4:40  3.64  Preia-Mar           
2019-04-22  10:44  0.78  Baixa-Mar           
2019-04-22  16:58  3.60  Preia-Mar           
2019-04-22  23:08  0.82  Baixa-Mar           
2019-04-23   5:22  3.41  Preia-Mar           
2019-04-23  11:23  1.00  Baixa-Mar           
2019-04-23  17:40  3.40  Preia-Mar           
2019-04-23  23:51  1.05  Baixa-Mar           
2019-04-24   6:06  3.15  Preia-Mar           
2019-04-24  12:05  1.25  Baixa-Mar           
2019-04-24  18:25  3.18  Preia-Mar           
2019-04-25   0:40  1.28  Baixa-Mar           
2019-04-25   6:57  2.90  Preia-Mar           
2019-04-25  12:53  1.48  Baixa-Mar           
2019-04-25  19:18  2.97  Preia-Mar           
2019-04-26   1:40  1.48  Baixa-Mar           
2019-04-26   8:01  2.71  Preia-Mar           
2019-04-26  13:57  1.67  Baixa-Mar           
2019-04-26  20:26  2.81  Preia-Mar           
2019-04-27   2:59  1.60  Baixa-Mar           
2019-04-27   9:22  2.62  Preia-Mar           
2019-04-27  15:23  1.75  Baixa-Mar           
2019-04-27  21:47  2.76  Preia-Mar           
2019-04-28   4:25  1.59  Baixa-Mar           
2019-04-28  10:43  2.66  Preia-Mar           
2019-04-28  16:47  1.70  Baixa-Mar           
2019-04-28  23:01  2.83  Preia-Mar           
2019-04-29   5:30  1.48  Baixa-Mar           
2019-04-29  11:44  2.79  Preia-Mar           
2019-04-29  17:47  1.55  Baixa-Mar           
2019-04-29  23:57  2.97  Preia-Mar           
2019-04-30   6:17  1.33  Baixa-Mar           
2019-04-30  12:29  2.95  Preia-Mar           
2019-04-30  18:31  1.38  Baixa-Mar           
2019-05-01   0:40  3.12  Preia-Mar           
2019-05-01   6:55  1.17  Baixa-Mar           
2019-05-01  13:06  3.12  Preia-Mar           
2019-05-01  19:08  1.20  Baixa-Mar           
2019-05-02   1:18  3.27  Preia-Mar           
2019-05-02   7:29  1.03  Baixa-Mar           
2019-05-02  13:40  3.28  Preia-Mar           
2019-05-02  19:42  1.04  Baixa-Mar           
2019-05-03   1:52  3.40  Preia-Mar           
2019-05-03   8:01  0.90  Baixa-Mar           
2019-05-03  14:12  3.41  Preia-Mar           
2019-05-03  20:15  0.91  Baixa-Mar           
2019-05-04   2:26  3.49  Preia-Mar           
2019-05-04   8:33  0.81  Baixa-Mar           
2019-05-04  14:45  3.51  Preia-Mar           
2019-05-04  20:49  0.81  Baixa-Mar           
2019-05-05   3:00  3.55  Preia-Mar           
2019-05-05   9:06  0.76  Baixa-Mar           
2019-05-05  15:18  3.57  Preia-Mar           
2019-05-05  21:24  0.77  Baixa-Mar           
2019-05-06   3:35  3.55  Preia-Mar           
2019-05-06   9:40  0.76  Baixa-Mar           
2019-05-06  15:53  3.58  Preia-Mar           
2019-05-06  22:00  0.77  Baixa-Mar           
2019-05-07   4:12  3.50  Preia-Mar           
2019-05-07  10:16  0.82  Baixa-Mar           
2019-05-07  16:31  3.54  Preia-Mar           
2019-05-07  22:40  0.82  Baixa-Mar           
2019-05-08   4:53  3.40  Preia-Mar           
2019-05-08  10:56  0.93  Baixa-Mar           
2019-05-08  17:12  3.45  Preia-Mar           
2019-05-08  23:25  0.92  Baixa-Mar           
2019-05-09   5:39  3.25  Preia-Mar           
2019-05-09  11:41  1.08  Baixa-Mar           
2019-05-09  18:00  3.33  Preia-Mar           
2019-05-10   0:17  1.05  Baixa-Mar           
2019-05-10   6:34  3.09  Preia-Mar           
2019-05-10  12:35  1.24  Baixa-Mar           
2019-05-10  18:58  3.20  Preia-Mar           
2019-05-11   1:20  1.18  Baixa-Mar           
2019-05-11   7:42  2.95  Preia-Mar           
2019-05-11  13:42  1.38  Baixa-Mar           
2019-05-11  20:08  3.11  Preia-Mar           
2019-05-12   2:38  1.24  Baixa-Mar           
2019-05-12   9:01  2.89  Preia-Mar           
2019-05-12  15:04  1.43  Baixa-Mar           
2019-05-12  21:28  3.11  Preia-Mar           
2019-05-13   4:00  1.20  Baixa-Mar           
2019-05-13  10:20  2.96  Preia-Mar           
2019-05-13  16:25  1.35  Baixa-Mar           
2019-05-13  22:43  3.21  Preia-Mar           
2019-05-14   5:11  1.07  Baixa-Mar           
2019-05-14  11:28  3.11  Preia-Mar           
2019-05-14  17:33  1.18  Baixa-Mar           
2019-05-14  23:48  3.36  Preia-Mar           
2019-05-15   6:10  0.91  Baixa-Mar           
2019-05-15  12:24  3.30  Preia-Mar           
2019-05-15  18:29  0.98  Baixa-Mar           
2019-05-16   0:42  3.51  Preia-Mar           
2019-05-16   6:59  0.77  Baixa-Mar           
2019-05-16  13:12  3.47  Preia-Mar           
2019-05-16  19:18  0.81  Baixa-Mar           
2019-05-17   1:31  3.62  Preia-Mar           
2019-05-17   7:43  0.68  Baixa-Mar           
2019-05-17  13:56  3.60  Preia-Mar           
2019-05-17  20:03  0.69  Baixa-Mar           
2019-05-18   2:16  3.66  Preia-Mar           
2019-05-18   8:24  0.65  Baixa-Mar           
2019-05-18  14:37  3.67  Preia-Mar           
