CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES                  

  Data       Hora   Alt    Maré
2017-03-07  10:44  2.98  Preia-Mar           
2017-03-07  16:58  1.44  Baixa-Mar           
2017-03-07  23:19  3.15  Preia-Mar           
2017-03-08   5:46  1.27  Baixa-Mar           
2017-03-08  12:02  3.09  Preia-Mar           
2017-03-08  18:10  1.30  Baixa-Mar           
2017-03-09   0:26  3.33  Preia-Mar           
2017-03-09   6:48  1.08  Baixa-Mar           
2017-03-09  13:01  3.26  Preia-Mar           
2017-03-09  19:05  1.13  Baixa-Mar           
2017-03-10   1:20  3.52  Preia-Mar           
2017-03-10   7:37  0.91  Baixa-Mar           
2017-03-10  13:49  3.42  Preia-Mar           
2017-03-10  19:51  0.96  Baixa-Mar           
2017-03-11   2:04  3.67  Preia-Mar           
2017-03-11   8:19  0.78  Baixa-Mar           
2017-03-11  14:29  3.54  Preia-Mar           
2017-03-11  20:30  0.83  Baixa-Mar           
2017-03-12   2:44  3.77  Preia-Mar           
2017-03-12   8:56  0.70  Baixa-Mar           
2017-03-12  15:06  3.62  Preia-Mar           
2017-03-12  21:07  0.76  Baixa-Mar           
2017-03-13   3:20  3.80  Preia-Mar           
2017-03-13   9:30  0.69  Baixa-Mar           
2017-03-13  15:40  3.64  Preia-Mar           
2017-03-13  21:41  0.75  Baixa-Mar           
2017-03-14   3:55  3.77  Preia-Mar           
2017-03-14  10:03  0.73  Baixa-Mar           
2017-03-14  16:13  3.61  Preia-Mar           
2017-03-14  22:15  0.79  Baixa-Mar           
2017-03-15   4:28  3.67  Preia-Mar           
2017-03-15  10:35  0.82  Baixa-Mar           
2017-03-15  16:46  3.53  Preia-Mar           
2017-03-15  22:48  0.89  Baixa-Mar           
2017-03-16   5:02  3.53  Preia-Mar           
2017-03-16  11:07  0.95  Baixa-Mar           
2017-03-16  17:19  3.40  Preia-Mar           
2017-03-16  23:22  1.04  Baixa-Mar           
2017-03-17   5:36  3.35  Preia-Mar           
2017-03-17  11:40  1.12  Baixa-Mar           
2017-03-17  17:54  3.25  Preia-Mar           
2017-03-17  23:58  1.21  Baixa-Mar           
2017-03-18   6:12  3.15  Preia-Mar           
2017-03-18  12:16  1.31  Baixa-Mar           
2017-03-18  18:32  3.07  Preia-Mar           
2017-03-19   0:39  1.40  Baixa-Mar           
2017-03-19   6:55  2.94  Preia-Mar           
2017-03-19  12:58  1.50  Baixa-Mar           
2017-03-19  19:20  2.90  Preia-Mar           
2017-03-20   1:31  1.58  Baixa-Mar           
2017-03-20   7:51  2.75  Preia-Mar           
2017-03-20  13:55  1.67  Baixa-Mar           
2017-03-20  20:24  2.77  Preia-Mar           
